"2853511000006117"    "burkitt cell leukaemia"                                                                                                                                                                                                                     
"311311000006115"     "[m]lymphatic leukaemia"                                                                                                                                                                                                                     
"3810361000006116"    "acute panmyelosis"                                                                                                                                                                                                                          
"4309311000006112"    "lymphoma, hodgkins"                                                                                                                                                                                                                         
"1815161000006119"    "follicular lymphoma grade 1"                                                                                                                                                                                                                
"154872012"           "hodgkin's sarcoma of spleen"                                                                                                                                                                                                                
"1815001000006119"    "[x]hiv disease resulting in other non-hodgkin lymphoma"                                                                                                                                                                                     
"1815031000006110"    "hodgkin lymphoma"                                                                                                                                                                                                                           
"1815391000006112"    "subcutaneous panniculitic t-cell lymphoma"                                                                                                                                                                                                  
"3759531000006117"    "adult t-cell leukaemia/lymphoma"                                                                                                                                                                                                            
"444799014"           "diffuse non-hodgkin's centroblastic lymphoma"                                                                                                                                                                                               
"157692010"           "nodular lymphoma of lymph nodes of multiple sites"                                                                                                                                                                                          
"880781000006115"     "lymphatic tissue carcinoma"                                                                                                                                                                                                                 
"826931000006110"     "hodgkin's disease, lymphocytic-histiocytic predominance of intrapelvic lymph nodes"                                                                                                                                                         
"826641000006114"     "hodgkin's disease, nodular sclerosis of intrapelvic lymph nodes"                                                                                                                                                                            
"309181000006110"     "[m]giant follicular lymphoma"                                                                                                                                                                                                               
"5356031000006112"    "angioendotheliomatosis"                                                                                                                                                                                                                     
"157746017"           "reticulosarcoma of intrapelvic lymph nodes"                                                                                                                                                                                                 
"289604019"           "burkitt's lymphoma of intrathoracic lymph nodes"                                                                                                                                                                                            
"289934014"           "other specified leukaemia"                                                                                                                                                                                                                  
"291962015"           "[m] gamma heavy chain disease"                                                                                                                                                                                                              
"4309491000006112"    "hodgkin's sarcoma (clinical)"                                                                                                                                                                                                               
"289791013"           "mast cell malignancy of lymph nodes of multiple sites"                                                                                                                                                                                      
"1216160012"          "[m]acute leukaemia nos"                                                                                                                                                                                                                     
"4173611000006115"    "apml - acute promyelocytic leukemia"                                                                                                                                                                                                        
"880871000006110"     "myeloid leukaemia - subacute"                                                                                                                                                                                                               
"2534415018"          "acute monocytic leukaemia"                                                                                                                                                                                                                  
"289801013"           "diffuse non-hodgkin's small cleaved cell (diffuse) lymphoma"                                                                                                                                                                                
"1815331000006113"    "cutaneous t-cell lymphoma"                                                                                                                                                                                                                  
"4172471000006116"    "malignant lymphoma - large cell cleaved and non-cleaved"                                                                                                                                                                                    
"289874016"           "immunoproliferative neoplasm or myeloma nos"                                                                                                                                                                                                
"292170010"           "[x]other types of follicular non-hodgkin's lymphoma"                                                                                                                                                                                        
"988791000006114"     "leukaemia - specif. cell nos"                                                                                                                                                                                                               
"826681000006115"     "hodgkin lymphoma, nodular lymphocyte predominance (clinical)"                                                                                                                                                                               
"198006010"           "diffuse large b-cell lymphoma"                                                                                                                                                                                                              
"2124511000000117"    "follicular lymphoma grade 3b"                                                                                                                                                                                                               
"312101000006110"     "[m]mast cell sarcoma"                                                                                                                                                                                                                       
"1228267010"          "[m]granulocytic sarcoma"                                                                                                                                                                                                                    
"289679011"           "hodgkin's disease, mixed cellularity nos"                                                                                                                                                                                                   
"1216940017"          "[m]adult t-cell leukaemia/lymphoma"                                                                                                                                                                                                         
"2659763011"          "alpha heavy chain disease"                                                                                                                                                                                                                  
"292075015"           "[m]acute myelofibrosis"                                                                                                                                                                                                                     
"763421000006116"     "follicular lymphoma nos"                                                                                                                                                                                                                    
"312137011"           "osteoporosis in multiple myelomatosis"                                                                                                                                                                                                      
"291892013"           "[m]malignant lymphoma, undifferentiated cell type nos"                                                                                                                                                                                      
"311621000006119"     "[m]malignant lymphoma, lymphocytic, well differentiated, nodular"                                                                                                                                                                           
"289640017"           "hodgkin's sarcoma of lymph nodes of head, face and neck"                                                                                                                                                                                    
"716911000006110"     "mast cell malignancy of lymph nodes of inguinal region and lower limb"                                                                                                                                                                      
"2663476014"          "hodgkin's granuloma"                                                                                                                                                                                                                        
"289643015"           "hodgkin's sarcoma of lymph nodes of axilla and upper limb"                                                                                                                                                                                  
"4415691000006118"    "malt lymphoma"                                                                                                                                                                                                                              
"289905015"           "myeloid sarcoma nos"                                                                                                                                                                                                                        
"289885019"           "adult t-cell leukaemia"                                                                                                                                                                                                                     
"747131000006114"     "leukaemic reticuloendotheliosis of lymph nodes of axilla and upper limb"                                                                                                                                                                    
"445587010"           "malignant reticulosis"                                                                                                                                                                                                                      
"457317011"           "lambda light chain myeloma"                                                                                                                                                                                                                 
"414252013"           "mucosa-associated lymphoma"                                                                                                                                                                                                                 
"2168861000000117"    "non-follicular lymphoma"                                                                                                                                                                                                                    
"289741014"           "sezary's disease of lymph nodes of head, face and neck"                                                                                                                                                                                     
"5601311000006114"    "burkitt's leukaemia"                                                                                                                                                                                                                        
"289638010"           "hodgkin's granuloma nos"                                                                                                                                                                                                                    
"291931019"           "[m]hodgkin's disease, lymphocytic predominance"                                                                                                                                                                                             
"287029018"           "burkitt lymphoma co-occurrent with human immunodeficiency virus infection"                                                                                                                                                                  
"306951000006110"     "[m]chronic monocytic leukaemia"                                                                                                                                                                                                             
"292028015"           "[m]lymphosarcoma cell leukaemia"                                                                                                                                                                                                            
"291943018"           "[m]malignant lymphoma, centroblastic-centrocytic, follicular"                                                                                                                                                                               
"745971000006116"     "letterer-siwe disease (clinical)"                                                                                                                                                                                                           
"826121000006114"     "hodgkin's disease nos"                                                                                                                                                                                                                      
"289726014"           "nodular lymphoma nos"                                                                                                                                                                                                                       
"673681000006118"     "nodular lymphoma of lymph nodes of inguinal region and lower limb"                                                                                                                                                                          
"291910017"           "[m]malignant lymphoma, centroblastic type nos"                                                                                                                                                                                              
"4009821000006111"    "cml - chronic myeloid leukemia"                                                                                                                                                                                                             
"2782201000006119"    "acute myelogenous leukemia"                                                                                                                                                                                                                 
"2168671000000111"    "prolymphocytic leukaemia of b-cell type"                                                                                                                                                                                                    
"5599791000006114"    "b-cll - b-cell chronic lymphocytic leukemia"                                                                                                                                                                                                
"1229491012"          "[m]hodgkin's disease, nodular sclerosis, cellular phase"                                                                                                                                                                                    
"313301000006119"     "mycosis fungoides"                                                                                                                                                                                                                          
"4309281000006110"    "malignant hodgkin's lymphoma"                                                                                                                                                                                                               
"344846014"           "acute myelofibrosis"                                                                                                                                                                                                                        
"1219545019"          "diffuse non-hodgkin's immunoblastic (diffuse) lymphoma"                                                                                                                                                                                     
"289901012"           "subacute myeloid leukaemia"                                                                                                                                                                                                                 
"154864010"           "hodgkin's sarcoma of intrathoracic lymph nodes"                                                                                                                                                                                             
"289892012"           "myeloid leukaemia"                                                                                                                                                                                                                          
"81411000006113"      "unspec malig neop lymphoid/histiocytic lymph node axilla/arm"                                                                                                                                                                               
"289793011"           "malignant mast cell tumour nos"                                                                                                                                                                                                             
"291913015"           "[m]malignant lymphomatous polyposis"                                                                                                                                                                                                        
"289780018"           "letterer-siwe disease nos"                                                                                                                                                                                                                  
"3408441000006115"    "multiple myeloma"                                                                                                                                                                                                                           
"2124491000000113"    "follicular lymphoma grade 3a"                                                                                                                                                                                                               
"1815101000006115"    "hodgkin's disease (clinical)"                                                                                                                                                                                                               
"451429010"           "follicular non-hodgkin's lymphoma"                                                                                                                                                                                                          
"313621000006115"     "[m]naegeli-type monocytic leukaemia"                                                                                                                                                                                                        
"1215905010"          "burkitt's tumour"                                                                                                                                                                                                                           
"292174018"           "[x]other specified types of non-hodgkin's lymphoma"                                                                                                                                                                                         
"907281000006117"     "[rfc] multiple myeloma"                                                                                                                                                                                                                     
"728771000006112"     "malignant lymphoma of lymph nodes of inguinal region and/or lower limb"                                                                                                                                                                     
"1220818019"          "[m]acute infancy reticulosis"                                                                                                                                                                                                               
"215914013"           "hodgkin lymphoma, nodular sclerosis"                                                                                                                                                                                                        
"292018012"           "erythroleukaemia"                                                                                                                                                                                                                           
"292001013"           "[m]compound leukaemia"                                                                                                                                                                                                                      
"311631000006116"     "[m]malignant lymphoma, mixed lymphocytic-histiocytic, nodular"                                                                                                                                                                              
"289727017"           "mycosis fungoides of unspecified site"                                                                                                                                                                                                      
"725221000006111"     "malignant neoplasm of histiocytic tissue"                                                                                                                                                                                                   
"4173671000006112"    "amml - acute myelomonocytic leukaemia"                                                                                                                                                                                                      
"2532159017"          "extramedullary plasmacytoma"                                                                                                                                                                                                                
"292017019"           "plasma cell leukaemia"                                                                                                                                                                                                                      
"2965521000006114"    "acute promyelocytic leukemia"                                                                                                                                                                                                               
"289596018"           "lymphosarcoma of lymph nodes of axilla and upper limb"                                                                                                                                                                                      
"3327961000006112"    "chronic lymphatic leukaemia"                                                                                                                                                                                                                
"293380012"           "waldenstrom's macroglobulinaemia"                                                                                                                                                                                                           
"414151014"           "t-cell prolymphocytic leukaemia"                                                                                                                                                                                                            
"344819016"           "myelomatosis"                                                                                                                                                                                                                               
"1815071000006113"    "lymphocyte depleted classical hodgkin lymphoma"                                                                                                                                                                                             
"1591211000006111"    "hairy cell leukaemia"                                                                                                                                                                                                                       
"4753321000006113"    "granulocytic leukaemia"                                                                                                                                                                                                                     
"157075017"           "mycosis fungoides of lymph nodes of axilla and upper limb"                                                                                                                                                                                  
"510217015"           "leukaemic reticuloendotheliosis of intrapelvic lymph nodes"                                                                                                                                                                                 
"289820010"           "malignant lymphoma (clinical)"                                                                                                                                                                                                              
"311881000006116"     "[m]malignant lymphoma, small cell, noncleaved, diffuse"                                                                                                                                                                                     
"3208271000006111"    "hodgkin lymphoma, nodular sclerosis, grade 2"                                                                                                                                                                                               
"291995014"           "[m]leukaemia unspecified, nos"                                                                                                                                                                                                              
"304331000006110"     "acute myeloid leukaemia, m6 type"                                                                                                                                                                                                           
"292031019"           "[m]lymphosarcoma cell leukaemia nos"                                                                                                                                                                                                        
"4309581000006113"    "hodgkin's disease, mixed cellularity (clinical)"                                                                                                                                                                                            
"826521000006118"     "hodgkin's disease, lymphocytic depletion of intrathoracic lymph nodes"                                                                                                                                                                      
"315971000006110"     "[m]reticulosarcoma, nodular"                                                                                                                                                                                                                
"3019871000006112"    "lymphocytic leukemia"                                                                                                                                                                                                                       
"4753071000006111"    "malignant lymphoma - mixed small and large cell"                                                                                                                                                                                            
"292024018"           "[m]erythroleukaemia nos"                                                                                                                                                                                                                    
"292006015"           "acute lymphoblastic leukaemia - category"                                                                                                                                                                                                   
"2726791000006110"    "erythroleukaemia"                                                                                                                                                                                                                           
"260879014"           "bone marrow: myeloma cells"                                                                                                                                                                                                                 
"154089015"           "letterer-siwe disease of lymph nodes of multiple sites"                                                                                                                                                                                     
"289799010"           "diffuse non-hodgkin's small cell (diffuse) lymphoma"                                                                                                                                                                                        
"154193012"           "malignant histiocytosis of spleen"                                                                                                                                                                                                          
"2168491000000113"    "anaplastic lymphoma kinase positive anaplastic large cell lymphoma"                                                                                                                                                                         
"826941000006117"     "hodgkin's disease, lymphocytic-histiocytic predominance of intrathoracic lymph nodes"                                                                                                                                                       
"4309371000006115"    "malignant lymphoma, non-hodgkin's type"                                                                                                                                                                                                     
"510218013"           "leukaemic reticuloendotheliosis of intrathoracic lymph nodes"                                                                                                                                                                               
"289964018"           "acute leukaemia"                                                                                                                                                                                                                            
"310131000006118"     "[m]hodgkin's disease, nodular sclerosis, lymphocytic depletion"                                                                                                                                                                             
"1815301000006117"    "cutaneous/peripheral t-cell lymphoma"                                                                                                                                                                                                       
"289748015"           "sezary's disease of lymph nodes of multiple sites"                                                                                                                                                                                          
"1815451000006113"    "nonfollicular lymphoma"                                                                                                                                                                                                                     
"1815251000006112"    "sarcoma of dendritic cells"                                                                                                                                                                                                                 
"207325017"           "t-cell lymphoma"                                                                                                                                                                                                                            
"1815601000006111"    "adult t-cell leukaemia/lymphoma"                                                                                                                                                                                                            
"451430017"           "plasmacytoma nos"                                                                                                                                                                                                                           
"307591000006111"     "[m]di guglielmo's disease"                                                                                                                                                                                                                  
"316171000006117"     "[m]schilling-type monocytic leukaemia"                                                                                                                                                                                                      
"289849019"           "malignant neoplasms of lymphoid and histiocytic tissue nos"                                                                                                                                                                                 
"311041000006118"     "hairy cell leukaemia"                                                                                                                                                                                                                       
"1815131000006111"    "extranodal marginal zone b-cell lymphoma of mucosa-associated lymphoid tissue"                                                                                                                                                              
"307221000006111"     "[m]compound leukaemias"                                                                                                                                                                                                                     
"1222222014"          "[m]germinoblastic sarcoma nos"                                                                                                                                                                                                              
"292046014"           "[m]eosinophilic leukaemias"                                                                                                                                                                                                                 
"292193016"           "[x]unspecified b-cell non-hodgkin's lymphoma"                                                                                                                                                                                               
"4172251000006113"    "lymphoblastic lymphoma"                                                                                                                                                                                                                     
"133678011"           "acute panmyelosis"                                                                                                                                                                                                                          
"169651000006115"     "reticulosarcoma of lymph nodes of inguinal region and lower limb"                                                                                                                                                                           
"698821000006119"     "megakaryocytic myelosclerosis"                                                                                                                                                                                                              
"826551000006110"     "hodgkin's disease, mixed cellularity of intrapelvic lymph nodes"                                                                                                                                                                            
"3150381000006111"    "follicular lymphoma, grade 3"                                                                                                                                                                                                               
"2168661000000116"    "prolymphocytic leukemia of t-cell type"                                                                                                                                                                                                     
"39671000006114"      "cutaneous/peripheral t-cell lymphoma"                                                                                                                                                                                                       
"289610019"           "burkitt's lymphoma of spleen"                                                                                                                                                                                                               
"4416061000006112"    "langerhans cell histiocytosis, disseminated"                                                                                                                                                                                                
"289606017"           "burkitt's lymphoma of lymph nodes of axilla and upper limb"                                                                                                                                                                                 
"154859011"           "hodgkin's paragranuloma of spleen"                                                                                                                                                                                                          
"309991000006111"     "[m]hodgkin's disease nos"                                                                                                                                                                                                                   
"826991000006114"     "hodgkin's disease, lymphocytic-histiocytic predominance (clinical)"                                                                                                                                                                         
"746031000006110"     "letterer-siwe disease of lymph nodes of axilla and upper limb"                                                                                                                                                                              
"414008012"           "b-cell chronic lymphocytic leukaemia"                                                                                                                                                                                                       
"747141000006116"     "leukaemic reticuloendotheliosis of lymph nodes of head, face and neck"                                                                                                                                                                      
"146721000006119"     "sezary's disease of lymph nodes of inguinal region and lower limb"                                                                                                                                                                          
